timestamp,time-imu,time-gps,acc-x,acc_y,acc_z,acc_gx,acc_gy,acc_gz,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_velocity,action
1748415251205,1748415251189,1748415250203,0.2020145425483957,0.1138555555998534,-0.09848545021921394,-0.3665970229738392,-1.7744930091442415,-9.700885790949464,5.1775336319253835,-3.4625062506378734,-1.2217773747475038,18.799476631827915,98.95078307151358,0.0,Forward
1748415251705,1748415251689,1748415250203,-0.09221564010157252,-0.013255787414312329,0.2248714941175778,-0.4558957435822487,-2.0773944394658996,-9.353063195818265,2.7549929252433563,2.189917010466602,1.3501269314540427,18.799476631827915,98.95078307151358,0.0,Forward
1748415252206,1748415252189,1748415250203,0.0511523508166894,0.20526492995299397,-0.07408483722706642,-0.5168980322878123,-1.941593350488866,-9.623034547958078,0.636827123155541,-5.601650598120631,5.574352703008655,18.799476631827915,98.95078307151358,0.0,Forward
1748415252706,1748415252705,1748415250203,-0.0622755490060415,0.10411127259589487,-0.23499542958842168,-1.0970510135549931,-2.023564319943108,-9.748131741202261,-5.577899874311154,-0.5524512125829244,-7.286184007897414,18.799476631827915,98.95078307151358,0.0,Forward
1748415253207,1748415253206,1748415250203,0.14256350430833173,-0.12549212970145052,-0.12873794565776986,-0.3958511812065199,-1.8734334463313715,-9.76085572997282,-1.3566868009910809,8.797685049098819,13.082498609548887,18.799476631827915,98.95078307151358,0.0,Forward
1748415253707,1748415253705,1748415250203,0.19756854606229193,-0.028709664523775356,-0.14874377237011985,0.04380394855596056,-1.7690612030958877,-9.794908260668418,2.9725153738033545,-0.010475103612333569,0.14062531785293284,18.799476631827915,98.95078307151358,0.0,Forward
1748415254207,1748415254205,1748415250203,-0.11921465564940745,-0.004613226980989182,0.22712858642647665,-0.25913236933529155,-2.30690358870844,-9.300435728512209,9.520337790833333,4.183467978384311,3.499551171651656,18.799476631827915,98.95078307151358,0.0,Forward
1748415254707,1748415254705,1748415250203,0.246645206676408,0.18566591586281853,0.020057186702390577,-0.07389604455307071,-2.6253423171552517,-9.364470569144887,-0.5014146670421458,-1.6927384890020287,11.34278365447002,18.799476631827915,98.95078307151358,0.0,Forward
1748415255207,1748415255205,1748415250203,0.14890967292548693,0.25843563729027913,-0.5643681594520807,-0.1263290177563375,-2.95064949929292,-9.803008565015693,17.737157550948833,4.795114458348871,-6.534572545843444,18.799476631827915,98.95078307151358,0.0,Forward
1748415255707,1748415255705,1748415250203,-0.06363401327110207,0.10379282129928462,-0.022577450250089153,-0.43464241624875916,-3.9116121076355386,-8.947096298881767,-4.575818768171683,3.4036138623261105,19.997121838144178,18.799476631827915,98.95078307151358,0.0,Forward
1748415256207,1748415256206,1748415250203,0.0018239591531331292,-0.7073269868741928,-0.32814462674677364,-1.1456005864457413,-4.769225108401725,-9.156169997823037,7.037689217764167,-12.527429789909402,-0.21486625913958418,18.799476631827915,98.95078307151358,0.0,Forward
1748415256707,1748415256705,1748415250203,0.11707161269434103,0.9551720617265006,0.2866998035848141,-0.48140913281536346,-3.971242712217866,-8.164142535261613,1.790296716943456,12.851234256159122,-6.186327560325823,18.799476631827915,98.95078307151358,0.0,Forward
1748415257207,1748415257205,1748415256801,-0.17725839700901178,0.01989704718867939,0.06940445355196798,-0.0745446567753714,-4.003594303698539,-8.867344482966063,-4.006299086074844,7.9620926202552065,9.184279458618018,18.799423346745947,98.9507439085699,0.0,Forward
1748415257707,1748415257705,1748415256801,0.10237651288747325,0.09463258392537628,-0.4813575170969962,0.1850916325437945,-4.173622534672667,-9.307707901730238,1.8132683404420031,-11.038229533004634,-17.36397704910287,18.799423346745947,98.9507439085699,0.0,Forward
1748415258207,1748415258205,1748415256801,0.23034514782331342,0.10684588629146415,-0.17691361631572244,0.0807892620884117,-4.216413920911897,-8.974480038821998,0.24779477721903026,5.466615405905215,18.303611676504158,18.799423346745947,98.9507439085699,0.0,Forward
1748415258708,1748415258705,1748415256801,0.2690076746464862,-0.1367326853517691,-0.19126668770541747,-0.27442550696841445,-4.243732720470179,-9.078213833152455,-5.131994376832805,-5.777502656638545,-3.402250030963372,18.799423346745947,98.9507439085699,0.0,Forward
1748415259208,1748415259205,1748415256801,0.08570141946228221,0.26181521621003734,0.20848991744597753,-0.33489402672399454,-3.661043969365905,-8.766024919912518,-0.20434138763845294,4.317830598848373,-0.3826484989565894,18.799423346745947,98.9507439085699,0.0,Forward
1748415259708,1748415259705,1748415256801,-0.007068245708259439,-0.00591949214498196,0.0548242954081297,0.376393247182642,-3.977836752365579,-8.8977758226188,1.2601065945514824,8.1701243475407,-0.035951546021206225,18.799423346745947,98.9507439085699,0.0,Forward
1748415260209,1748415260205,1748415256801,-0.255599803769632,0.09677994199151792,-0.24851275472283352,0.4740068425891797,-3.9202063524636617,-9.158130250432292,5.3728994466311795,1.9482294308856831,-13.175252055541302,18.799423346745947,98.9507439085699,0.0,Forward
1748415260709,1748415260706,1748415256801,0.18335882470834222,0.3039891719771921,-0.48203860200285914,0.6897194827013216,-3.6657076551990198,-9.428051450593966,-5.2481332241640315,-6.026962662436343,15.690516936230539,18.799423346745947,98.9507439085699,0.0,Forward
1748415261210,1748415261205,1748415256801,0.18155393984399887,-0.5088584439340731,-0.04080052416702105,0.5069869741110938,-4.691757730677326,-8.893870222708482,9.30007650078269,0.9719695291153541,-0.3700831475722092,18.799423346745947,98.9507439085699,0.0,Forward
1748415261710,1748415261705,1748415256801,0.16774147844146625,0.6298281618721286,0.06757792006701235,0.021158570617435913,-3.3616639278454583,-8.862556079645751,-13.20269640218208,-0.31983216874534615,13.27967954969466,18.799423346745947,98.9507439085699,0.0,Forward
1748415262210,1748415262205,1748415256801,0.06005596177033145,0.020536406973650063,-0.14264099364459515,-0.27284938814089327,-3.59475947933639,-9.247957762421468,7.096268642895035,-2.5887955699029446,-3.5044255548291336,18.799423346745947,98.9507439085699,0.0,Forward
1748415262711,1748415262705,1748415256801,0.11344073441891307,0.08489936896910266,-0.07777100761999686,-0.2020408655174945,-4.4358124976082145,-8.770967870820462,4.542758239344249,1.4679628251065984,-4.0221511333813105,18.799423346745947,98.9507439085699,0.0,Forward
1748415263211,1748415263205,1748415256801,-0.004007671931140921,0.04164741844892496,-0.3381975654346744,0.06106192950324128,-4.222663745860804,-9.167617313478786,-5.597274212551042,3.484128448869946,3.4014103623692358,18.799423346745947,98.9507439085699,0.0,Forward
1748415263711,1748415263705,1748415263407,0.26439256338155376,-0.26830644869938497,0.17956344888230172,0.31021851817101215,-4.611886165710489,-8.611189942350288,4.84511639229247,-3.975835512119054,-6.860898568524337,18.799296399088348,98.95069932817908,0.0,Forward
1748415264211,1748415264205,1748415263407,0.020679703656551047,0.4671095524850983,0.08189210126698018,-0.017462827793787515,-3.613169873034904,-8.833850657776695,-6.092045421947622,-4.843744827163454,-8.598392668918276,18.799296399088348,98.95069932817908,0.0,Forward
1748415264711,1748415264705,1748415263407,0.17121435146917666,0.11760784028952315,-0.2218723902378479,0.08824113579191614,-3.714115449241399,-9.246216958813667,-3.0049236947149174,3.027407919293814,17.683255671925973,18.799296399088348,98.95069932817908,0.0,Forward
1748415265211,1748415265205,1748415263407,0.12361091906473037,-0.22715692599609488,-0.2047003451307615,-0.3061786533697633,-4.190646325544467,-9.157332222180367,11.615074353751819,-4.1118612614123276,-3.748751953094155,18.799296399088348,98.95069932817908,0.0,Forward
1748415265711,1748415265705,1748415263407,0.07859765202390419,0.10425432081525526,-0.14735112948387863,-0.06419970811410282,-4.485023356532803,-8.810761517064371,-2.4338767049464303,5.966615657274779,9.93842812749706,18.799296399088348,98.95069932817908,0.0,Forward
1748415266212,1748415266205,1748415263407,0.3116211074585405,0.048187935875604576,0.10663742630153893,-0.43139047803452224,-4.127209957390576,-8.734052196036675,-3.3418626076237836,2.1630583863423585,5.90736527811575,18.799296399088348,98.95069932817908,0.0,Forward
1748415266712,1748415266705,1748415263407,-0.19405794686539865,0.3878982829289137,-0.2975455293116966,-0.12641912205298897,-4.166664308161587,-8.973198006961344,8.699040137171098,1.6361143220256087,-12.100717286017835,18.799296399088348,98.95069932817908,0.0,Forward
1748415267212,1748415267205,1748415263407,0.22033971721753165,0.01477717124675709,-0.04235059828221801,0.08256481217373184,-4.4617048591729995,-8.752063673029541,-9.449279571291067,-3.361486983527757,6.0936563340695615,18.799296399088348,98.95069932817908,0.0,Forward
1748415267712,1748415267705,1748415263407,0.10073699322342253,-0.0021959026090800546,-0.44367855414559443,-0.025757805520067442,-3.7483026245542868,-9.501937725735107,-5.606334611119339,-0.41922251755838963,-18.109016897663505,18.799296399088348,98.95069932817908,0.0,Forward
1748415268213,1748415268205,1748415263407,-0.053069655680097624,-0.10991799695521592,0.17091384983122343,0.1876354815877968,-3.8399157827222345,-8.892887660895983,3.36197055469556,-9.015530293466208,-9.576774649988094,18.799296399088348,98.95069932817908,0.0,Forward
1748415268713,1748415268705,1748415263407,0.34133932370821307,0.5299511988423266,-0.1507080581804116,0.13151641261708302,-3.1227875815119344,-9.236670099177855,2.387846481093145,5.106071095088563,0.8324413682054467,18.799296399088348,98.95069932817908,0.0,Forward
1748415269213,1748415269205,1748415263407,0.06113894200797188,0.12984901460771764,-0.08050475804587208,0.04958491095239572,-4.051253919464151,-8.950004256314832,-1.0417941939263236,-11.74277151177744,-20.944276969839752,18.799296399088348,98.95069932817908,0.0,Forward
1748415269714,1748415269705,1748415263407,-0.050424783824454235,-0.057608801818092734,-0.23231717291653153,-0.04765951610957627,-4.041602264795551,-9.192417115953464,-0.400305085799161,1.8680575081734645,5.079401056222562,18.799296399088348,98.95069932817908,0.0,Forward
1748415270214,1748415270205,1748415270005,0.3483123721113366,-0.10840977460732058,0.20408416163871687,0.5287195028977391,-3.841367296704799,-8.859518533709746,-3.5194157105249273,6.185824501774539,7.790320899849855,18.79944000057797,98.950812989685,0.0,Turn
1748415270715,1748415270705,1748415270005,0.7285606754899425,0.5200129530912141,-0.2358109381874402,0.7573656663579598,-2.994523157037,-9.388252991786498,-5.721464810709558,10.231016535715687,39.39538838506716,18.79944000057797,98.950812989685,0.0,Turn
1748415271215,1748415271205,1748415270005,0.6933227873743574,0.4897238860664268,-0.3423919191584985,0.29209213827037406,-2.7522597499035295,-9.58175946995288,6.653234469945486,27.583751535450443,97.25656942085057,18.79944000057797,98.950812989685,0.0,Turn
1748415271716,1748415271705,1748415271650,0.21310941464198752,-0.604324156650851,0.022119886514842504,-0.18359103120447445,-3.4481040283215543,-9.351806376335125,-4.657941274627631,16.571405451202722,39.85691083155919,18.79944036462811,98.95081327783302,0.0,Turn
1748415272217,1748415272205,1748415271650,0.19066654203272113,0.29062187727039057,0.013618756023744865,0.1503651530612707,-2.651707703059266,-9.337969963843726,3.998056011799382,3.1347952559136774,-2.810327125617654,18.79944036462811,98.95081327783302,0.0,Turn
1748415272717,1748415272705,1748415271650,0.40340554058663697,0.22705767417922615,-0.023722509147922184,0.16523915185270574,-3.3139788074413934,-9.161322811573447,7.568891286487204,0.9718979490885932,6.128352414837428,18.79944036462811,98.95081327783302,0.0,Turn
1748415273218,1748415273205,1748415271650,0.32285648765462754,-0.6787269250757494,-0.13883489884396394,0.16279506918369274,-3.9769432034948466,-9.370172034625012,-3.805476510511164,0.9061985293276216,1.342406636122392,18.79944036462811,98.95081327783302,0.0,Forward
1748415273719,1748415273705,1748415271650,-0.22850920490590704,0.12430839006756744,0.21979061552772913,-0.37639411375251675,-2.979299430550585,-9.079421163115601,-7.268607611400303,-3.0833653455260825,-12.772340775883494,18.79944036462811,98.95081327783302,0.0,Forward
1748415274220,1748415274205,1748415271650,0.2625712383443506,0.08117648085946835,-0.34376038232256967,-0.017677860058792093,-3.0156164185308905,-9.631668676663141,2.032124608887047,-5.035177370713997,12.571796404241136,18.79944036462811,98.95081327783302,0.0,Forward
1748415274721,1748415274705,1748415271650,0.07348676812927082,-0.18292208243434632,-0.17462273864159977,-0.013433146920060769,-3.247799161154826,-9.48329802409927,2.9828273443949245,5.3151206237247015,-11.315591142595762,18.79944036462811,98.95081327783302,0.0,Forward
1748415275222,1748415275205,1748415271650,0.060075954550028156,0.10098546008343498,0.05302809860924863,0.1755641164345587,-3.057539945636441,-9.22809109088699,-6.248182166106718,-1.8682095368007399,-3.2234209411142185,18.79944036462811,98.95081327783302,0.0,Forward
1748415275723,1748415275722,1748415271650,0.19668184723422505,-0.030279299224047894,-0.00910336276552365,-0.1154484859329378,-3.079387128491796,-9.321322002948484,2.969744643418761,-0.8776412878782954,2.033711878765898,18.79944036462811,98.95081327783302,0.0,Forward
1748415276223,1748415276222,1748415271650,-0.19473037323633202,0.3440766866011421,-0.0018130699974298577,-0.4176940923283728,-2.5081305878663067,-9.379763785541952,-3.39957736637963,-3.453728806107328,-12.502790796727862,18.79944036462811,98.95081327783302,0.0,Forward
1748415276723,1748415276721,1748415271650,-0.0006927659060635638,0.27724377865066135,-0.32509096749067296,-0.3868587579360712,-2.7501993199844157,-9.641804071905609,3.857025700191919,-8.187028724227021,-4.851019788825137,18.79944036462811,98.95081327783302,0.0,Forward
1748415277223,1748415277222,1748415271650,-0.44006829000880937,0.06022446908021963,-0.057090954391956335,-0.7671477240213694,-3.05022788854147,-9.349596727719607,-1.7504993822172616,-9.538093387293253,-56.73851968970838,18.79944036462811,98.95081327783302,0.0,Turn
1748415277723,1748415277722,1748415271650,-0.606002600297301,-0.06451029073774815,0.15878876156032087,-0.32361659017794453,-2.512136467377817,-9.324472515596149,-8.983015981447867,-16.805280900979493,-82.81374817366103,18.79944036462811,98.95081327783302,0.0,Turn
